"person_age","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_income"
23,"MORTGAGE",5,"EDUCATION","A",4000,6.92,"0",0.14,"N",4,10.2399597891573
37,"MORTGAGE",13,"EDUCATION","A",6500,7.14,"0",0.08,"N",13,11.36789969292
24,"RENT",1,"MEDICAL","B",6000,12.53,"0",0.13,"N",3,10.7774551637638
24,"MORTGAGE",6,"HOMEIMPROVEMENT","E",10000,16.4,"0",0.1,"Y",4,11.5169174862398
29,"OWN",0,"DEBTCONSOLIDATION","D",10000,14.46,"0",0.23,"N",8,10.6846456104188
26,"RENT",2,"MEDICAL","C",1500,13.49,"0",0.06,"Y",2,10.1345992734995
23,"RENT",2,"DEBTCONSOLIDATION","C",8000,14.72,"0",0.12,"Y",2,11.0821425488778
27,"RENT",4,"VENTURE","B",15000,12.42,"0",0.27,"N",10,10.9150884642146
31,"MORTGAGE",5,"MEDICAL","D",15000,15.37,"1",0.14,"N",8,11.4547665507967
30,"MORTGAGE",6,"HOMEIMPROVEMENT","A",10200,6.91,"0",0.15,"N",8,11.1562505210315
24,"MORTGAGE",7,"VENTURE","A",6000,5.42,"0",0.09,"N",3,11.0821425488778
22,"MORTGAGE",3,"MEDICAL","C",3250,12.73,"0",0.05,"Y",4,11.0020998412042
26,"RENT",7,"DEBTCONSOLIDATION","A",15000,6.03,"0",0.25,"N",3,11.0020998412042
36,"RENT",0,"DEBTCONSOLIDATION","D",7550,14.61,"1",0.35,"N",13,9.96758847794265
24,"MORTGAGE",2,"DEBTCONSOLIDATION","G",25000,18.84,"1",0.28,"Y",2,11.3850920934603
31,"RENT",1,"VENTURE","A",8325,7.51,"1",0.31,"N",7,10.1998815655899
21,"RENT",5,"DEBTCONSOLIDATION","B",3200,10.37,"1",0.1,"N",3,10.3417424834673
29,"RENT",0,"VENTURE","B",2400,11.11,"0",0.03,"N",6,11.1561933765416
30,"RENT",1,"VENTURE","A",3000,5.42,"0",0.04,"N",9,11.1272629841582
24,"RENT",1,"DEBTCONSOLIDATION","B",7200,12.69,"1",0.31,"N",2,10.0432494949113
22,"RENT",0,"EDUCATION","A",4000,7.9,"0",0.08,"N",4,10.8834101446551
23,"OWN",7,"VENTURE","C",25000,12.73,"0",0.27,"N",3,11.4403547721354
23,"RENT",7,"EDUCATION","A",7500,6.54,"0",0.13,"N",2,10.9852927228879
24,"RENT",0,"EDUCATION","A",12000,6.62,"0",0.16,"N",3,11.2252433925184
29,"OWN",0,"VENTURE","C",10000,12.87,"0",0.29,"Y",8,10.4631033404715
30,"RENT",2,"PERSONAL","A",10000,7.49,"0",0.17,"N",7,11.0020998412042
25,"MORTGAGE",4,"VENTURE","B",6300,10.37,"0",0.09,"N",4,11.1562505210315
22,"RENT",3,"EDUCATION","C",6000,12.98,"0",0.21,"Y",2,10.2399597891573
27,"RENT",4,"MEDICAL","B",12000,12.69,"0",0.3,"N",8,10.5966347330961
27,"MORTGAGE",11,"VENTURE","B",22000,10.62,"0",0.11,"N",5,12.241352913007
33,"OWN",3,"VENTURE","B",5000,10.59,"0",0.12,"N",6,10.6454248972655
38,"RENT",4,"DEBTCONSOLIDATION","A",16500,7.9,"1",0.35,"N",16,10.7579028806922
29,"MORTGAGE",0,"EDUCATION","A",10625,6.62,"0",0.27,"N",5,10.5966347330961
30,"RENT",1,"MEDICAL","C",4800,13.43,"0",0.15,"Y",5,10.3417424834673
28,"MORTGAGE",4,"EDUCATION","B",12000,12.69,"1",0.38,"N",10,10.3734911817819
31,"OWN",3,"PERSONAL","B",5000,11.83,"0",0.25,"N",7,9.90348755253613
22,"MORTGAGE",6,"MEDICAL","A",6125,6.17,"0",0.1,"N",2,11.0020998412042
21,"MORTGAGE",3,"EDUCATION","A",4500,6.92,"0",0.08,"N",4,10.9681982895286
25,"OWN",7,"VENTURE","B",8000,10.38,"0",0.24,"N",2,10.4042628404486
26,"RENT",6,"MEDICAL","E",30000,17.99,"1",0.41,"N",2,11.0356957906328
39,"MORTGAGE",18,"DEBTCONSOLIDATION","B",15000,11.71,"0",0.19,"N",13,11.2751757612667
22,"RENT",1,"DEBTCONSOLIDATION","C",15000,15.27,"1",0.5,"Y",2,10.3089526606443
35,"MORTGAGE",9,"HOMEIMPROVEMENT","B",9450,10.99,"0",0.12,"N",8,11.2644641056717
26,"RENT",11,"EDUCATION","A",6600,8.9,"0",0.23,"N",3,10.2750511089686
31,"RENT",1,"EDUCATION","B",8000,9.99,"0",0.17,"N",8,10.7552397632727
24,"RENT",0,"EDUCATION","B",6500,11.36,"0",0.27,"N",2,10.0858091093301
24,"RENT",0,"DEBTCONSOLIDATION","C",6600,12.68,"1",0.31,"N",4,9.98044859367226
23,"RENT",3,"PERSONAL","A",4200,6.03,"0",0.07,"N",4,11.0186291431554
29,"MORTGAGE",0,"EDUCATION","A",11000,8.94,"0",0.08,"N",8,11.8130300574206
29,"RENT",0,"PERSONAL","B",1500,12.42,"0",0.02,"N",9,11.289781913656
22,"RENT",6,"DEBTCONSOLIDATION","B",7125,9.67,"0",0.3,"N",3,10.0858091093301
31,"MORTGAGE",4,"DEBTCONSOLIDATION","F",16000,19.41,"1",0.22,"N",7,11.1982147201305
42,"MORTGAGE",6,"PERSONAL","B",14000,10.99,"0",0.1,"N",14,11.8522507705738
27,"RENT",11,"MEDICAL","D",12500,15.65,"1",0.36,"Y",8,10.4631033404715
27,"RENT",0,"HOMEIMPROVEMENT","D",3000,15.62,"1",0.12,"N",5,10.1266311038503
23,"RENT",7,"EDUCATION","D",4000,14.96,"0",0.09,"N",4,10.7144177687525
24,"RENT",5,"EDUCATION","B",8000,10.99,"1",0.4,"N",4,9.90348755253613
22,"RENT",6,"MEDICAL","D",9250,14.46,"1",0.29,"Y",4,10.3859137017804
29,"RENT",7,"VENTURE","A",7200,6.03,"0",0.17,"N",7,10.6714638737167
24,"MORTGAGE",5,"DEBTCONSOLIDATION","B",13000,10.25,"0",0.2,"N",2,11.0974100210086
29,"RENT",6,"DEBTCONSOLIDATION","D",8500,14.11,"1",0.39,"Y",7,9.9986158976277
23,"MORTGAGE",1,"EDUCATION","C",12000,13.48,"0",0.15,"Y",4,11.289781913656
34,"OWN",2,"PERSONAL","A",2500,13.06,"0",0.11,"N",7,10.0432494949113
23,"RENT",2,"MEDICAL","D",6000,14.42,"1",0.28,"N",4,9.98044859367226
39,"RENT",3,"DEBTCONSOLIDATION","C",8000,14.26,"1",0.24,"Y",12,10.4072885613652
23,"RENT",4,"MEDICAL","A",20000,7.9,"0",0.25,"N",4,11.289781913656
23,"MORTGAGE",3,"MEDICAL","B",5400,10.99,"1",0.12,"N",2,10.6919449129004
27,"RENT",1,"PERSONAL","A",7025,5.42,"1",0.35,"N",9,9.90348755253613
45,"MORTGAGE",14,"EDUCATION","A",14000,6.62,"0",0.31,"N",12,10.7144177687525
41,"RENT",2,"MEDICAL","A",4000,7.51,"0",0.19,"N",14,9.98044859367226
41,"MORTGAGE",5,"MEDICAL","B",28000,11.71,"0",0.24,"N",13,11.6790752947643
32,"MORTGAGE",6,"HOMEIMPROVEMENT","A",2800,7.88,"0",0.03,"N",9,11.3713619006484
32,"RENT",4,"VENTURE","A",15000,6.54,"0",0.27,"N",5,10.9150157342971
25,"MORTGAGE",9,"PERSONAL","D",4000,15.99,"0",0.08,"N",4,10.8529035348421
28,"MORTGAGE",2,"MEDICAL","B",5325,10.38,"0",0.04,"N",7,11.6868787720937
21,"MORTGAGE",5,"VENTURE","E",4800,9.99,"0",0.08,"Y",4,11.0508900053737
33,"MORTGAGE",17,"EDUCATION","A",10400,7.66,"0",0.14,"N",5,11.2417464646175
32,"RENT",0,"PERSONAL","B",3500,11.71,"1",0.12,"N",10,10.3089526606443
26,"MORTGAGE",3,"HOMEIMPROVEMENT","C",2400,14.27,"0",0.06,"Y",2,10.5963847018409
39,"RENT",0,"HOMEIMPROVEMENT","B",20000,10.08,"0",0.13,"N",17,11.9183905730784
23,"MORTGAGE",3,"HOMEIMPROVEMENT","F",15000,17.03,"1",0.16,"N",2,11.4616321705827
22,"MORTGAGE",2,"MEDICAL","A",18200,7.51,"0",0.3,"N",4,11.0186291431554
24,"OWN",5,"EDUCATION","A",6500,5.42,"0",0.18,"N",2,10.4912742174382
36,"MORTGAGE",2,"PERSONAL","B",6250,6,"0",0.17,"N",14,10.5294259834026
25,"RENT",3,"DEBTCONSOLIDATION","A",5000,7.66,"0",0.06,"N",3,11.2644641056717
32,"MORTGAGE",17,"MEDICAL","C",5000,14.65,"0",0.05,"N",9,11.5617156291397
22,"MORTGAGE",6,"PERSONAL","B",10500,9.99,"0",0.17,"N",2,11.0572191404253
27,"RENT",8,"EDUCATION","A",8800,6.03,"0",0.14,"N",9,11.0821425488778
35,"RENT",13,"MEDICAL","C",4000,13.35,"0",0.11,"N",8,10.4631033404715
23,"RENT",3,"PERSONAL","A",14600,6.03,"1",0.49,"N",4,10.3089526606443
29,"MORTGAGE",13,"DEBTCONSOLIDATION","A",6500,7.88,"0",0.09,"N",9,11.1562505210315
36,"RENT",0,"HOMEIMPROVEMENT","C",15000,13.57,"0",0.25,"N",12,11.0020998412042
24,"RENT",1,"EDUCATION","C",9500,14.79,"0",0.18,"Y",3,10.8685684485797
24,"OWN",8,"VENTURE","C",2200,15.27,"0",0.05,"Y",4,10.77895628989
21,"MORTGAGE",6,"PERSONAL","C",6000,7.68,"0",0.1,"N",3,11.0186291431554
25,"OWN",3,"MEDICAL","B",3600,11.86,"0",0.09,"N",2,10.5713169251118
23,"RENT",4,"MEDICAL","B",7000,11.58,"0",0.17,"N",3,10.5966347330961
31,"MORTGAGE",16,"EDUCATION","A",9000,7.29,"0",0.1,"N",8,11.3914355673825
24,"RENT",6,"DEBTCONSOLIDATION","E",10000,17.19,"1",0.2,"N",2,10.8395809117065
26,"RENT",3,"PERSONAL","D",15000,16.49,"0",0.2,"N",4,11.2322984469921
26,"RENT",6,"PERSONAL","C",1000,15.27,"0",0.03,"Y",3,10.5453414387085
23,"RENT",7,"MEDICAL","B",10000,12.18,"1",0.33,"N",3,10.3089526606443
34,"MORTGAGE",1,"VENTURE","B",12000,11.86,"0",0.27,"N",9,10.7144177687525
35,"OWN",1,"PERSONAL","A",6000,9.63,"0",0.23,"N",6,10.1658518170036
44,"MORTGAGE",4,"VENTURE","B",10000,10.95,"0",0.11,"N",15,11.4616321705827
27,"RENT",5,"EDUCATION","C",5000,13.79,"0",0.15,"Y",9,10.4385764284378
32,"RENT",0,"VENTURE","B",4675,10,"0",0.09,"N",7,10.8197782844103
32,"MORTGAGE",0,"HOMEIMPROVEMENT","A",7200,7.9,"0",0.06,"N",10,11.6526874073454
25,"RENT",3,"MEDICAL","B",20000,12.42,"1",0.32,"N",3,11.0508900053737
21,"RENT",5,"DEBTCONSOLIDATION","B",11325,9.91,"1",0.39,"N",3,10.2750511089686
30,"RENT",14,"PERSONAL","B",7000,10.65,"0",0.08,"N",9,11.3504065354725
23,"MORTGAGE",2,"DEBTCONSOLIDATION","A",5000,6.62,"0",0.04,"N",3,11.7344677349175
21,"OWN",0,"VENTURE","A",25000,7.49,"0",0.17,"N",2,11.91889044812
23,"RENT",0,"EDUCATION","A",5000,7.75,"0",0.11,"N",3,10.7144177687525
25,"RENT",1,"MEDICAL","D",8000,12.92,"1",0.18,"N",2,10.6919449129004
22,"OWN",0,"VENTURE","A",1500,6.91,"0",0.06,"N",4,10.0858091093301
27,"RENT",1,"DEBTCONSOLIDATION","A",7525,7.9,"0",0.09,"N",8,11.3504065354725
35,"MORTGAGE",2,"MEDICAL","B",14000,10.65,"0",0.16,"N",5,11.3504065354725
24,"RENT",1,"MEDICAL","C",5000,10.99,"0",0.22,"N",4,10.0432494949113
26,"MORTGAGE",6,"PERSONAL","A",6500,6.76,"0",0.13,"N",4,10.8589989975636
28,"RENT",1,"PERSONAL","B",12000,11.71,"0",0.14,"N",8,11.3385720778255
24,"MORTGAGE",4,"VENTURE","B",1200,11.49,"0",0.03,"N",3,10.6454248972655
24,"MORTGAGE",0,"VENTURE","A",13600,6.62,"0",0.13,"N",3,11.5317472192108
37,"MORTGAGE",7,"EDUCATION","B",25000,11.49,"0",0.08,"N",14,12.6115377536383
21,"OWN",6,"DEBTCONSOLIDATION","D",4000,10.99,"0",0.13,"Y",3,10.3089526606443
26,"OWN",10,"PERSONAL","B",22000,11.83,"0",0.1,"N",4,12.2548628096996
29,"MORTGAGE",8,"HOMEIMPROVEMENT","D",16000,14.96,"0",0.27,"Y",6,11.0020998412042
22,"MORTGAGE",6,"VENTURE","D",2500,14.61,"0",0.04,"N",2,11.082127164144
29,"RENT",5,"MEDICAL","A",10000,7.88,"0",0.17,"N",8,11.0020998412042
33,"RENT",4,"VENTURE","B",8000,11.48,"0",0.13,"N",7,11.0348896640272
23,"RENT",5,"VENTURE","D",13275,17.58,"0",0.25,"Y",2,10.8967393255464
23,"OWN",5,"EDUCATION","B",10000,11.36,"0",0.06,"N",2,12.0015054797889
25,"MORTGAGE",10,"HOMEIMPROVEMENT","B",24250,10.75,"0",0.22,"N",2,11.5898865061064
31,"RENT",9,"VENTURE","A",1600,7.51,"0",0.04,"N",8,10.5966347330961
24,"OWN",1,"EDUCATION","D",3000,16,"0",0.14,"N",2,9.99879773234045
26,"RENT",6,"VENTURE","B",7800,12.53,"0",0.21,"N",4,10.5453414387085
23,"RENT",7,"MEDICAL","A",11300,7.49,"0",0.16,"N",2,11.1704351560235
30,"RENT",11,"PERSONAL","B",9600,12.42,"0",0.15,"N",10,11.0821425488778
24,"RENT",8,"PERSONAL","A",5000,7.88,"0",0.14,"N",3,10.4631033404715
22,"RENT",6,"DEBTCONSOLIDATION","B",4200,11.71,"0",0.06,"N",3,11.1913418408428
26,"OWN",10,"HOMEIMPROVEMENT","B",24250,12.18,"0",0.44,"N",4,10.9073861501318
32,"RENT",6,"DEBTCONSOLIDATION","B",10000,9.25,"0",0.2,"N",8,10.8197782844103
21,"RENT",5,"EDUCATION","C",2000,13.57,"0",0.02,"Y",3,11.5128854641702
29,"OWN",7,"MEDICAL","A",8725,5.99,"0",0.12,"N",7,11.2166734418354
24,"RENT",0,"MEDICAL","A",8500,7.51,"0",0.19,"N",4,10.6919449129004
32,"RENT",5,"PERSONAL","A",6400,8,"0",0.11,"N",5,10.9541693074467
28,"RENT",5,"MEDICAL","A",4800,7.14,"0",0.14,"N",5,10.4271208073211
22,"MORTGAGE",2,"MEDICAL","B",5000,10.59,"0",0.05,"N",2,11.4616321705827
25,"RENT",9,"PERSONAL","C",20000,13.06,"0",0.2,"Y",3,11.5129254649702
25,"MORTGAGE",5,"EDUCATION","C",16750,13.11,"0",0.35,"Y",4,10.77895628989
41,"MORTGAGE",9,"MEDICAL","B",8800,11.58,"0",0.09,"N",11,11.5356649519397
24,"MORTGAGE",2,"VENTURE","B",5500,11.36,"0",0.11,"N",3,10.77895628989
23,"RENT",6,"PERSONAL","C",4500,12.99,"0",0.11,"N",4,10.6213273456864
30,"MORTGAGE",15,"MEDICAL","B",8275,9.01,"0",0.07,"N",8,11.6952470217642
27,"MORTGAGE",1,"HOMEIMPROVEMENT","A",20000,6.17,"0",0.2,"N",7,11.5129254649702
32,"MORTGAGE",4,"PERSONAL","C",20000,13.92,"0",0.09,"N",10,12.3238556811866
29,"MORTGAGE",7,"PERSONAL","A",4000,6.17,"0",0.09,"N",9,10.7144177687525
42,"OWN",0,"PERSONAL","A",8150,6.99,"0",0.05,"N",17,11.9233781145894
22,"OWN",6,"MEDICAL","B",4800,11.99,"0",0.09,"N",2,10.9150884642146
31,"MORTGAGE",5,"DEBTCONSOLIDATION","B",15000,11.14,"0",0.16,"N",9,11.4616321705827
45,"RENT",0,"DEBTCONSOLIDATION","B",8000,10.99,"0",0.25,"N",12,10.3734911817819
30,"MORTGAGE",12,"MEDICAL","B",5000,7.9,"0",0.05,"N",10,11.6082356447746
23,"MORTGAGE",4,"DEBTCONSOLIDATION","D",1700,16.77,"1",0.03,"N",4,11.0322409981162
24,"OWN",8,"EDUCATION","A",9000,7.29,"0",0.14,"N",4,11.0821425488778
24,"MORTGAGE",6,"VENTURE","B",9250,11.12,"0",0.22,"N",4,10.6454248972655
22,"RENT",5,"MEDICAL","B",15000,11.49,"0",0.17,"N",4,11.4075649493124
38,"RENT",17,"PERSONAL","B",6000,11.83,"0",0.07,"N",12,11.289781913656
23,"MORTGAGE",5,"DEBTCONSOLIDATION","A",6000,7.66,"0",0.12,"N",4,10.8197782844103
24,"RENT",4,"VENTURE","A",18000,7.9,"1",0.36,"N",4,10.8197782844103
27,"RENT",8,"MEDICAL","C",14125,12.68,"1",0.44,"N",10,10.3702672404634
27,"OWN",3,"MEDICAL","D",12000,15.58,"0",0.15,"N",7,11.2644641056717
31,"RENT",1,"HOMEIMPROVEMENT","D",9600,14.91,"1",0.08,"Y",7,11.6351430976945
33,"RENT",1,"HOMEIMPROVEMENT","B",1600,9.88,"1",0.09,"N",5,9.7981270368783
22,"RENT",0,"PERSONAL","A",10000,7.88,"0",0.2,"N",3,10.8197782844103
25,"RENT",9,"HOMEIMPROVEMENT","A",10000,6.62,"1",0.2,"N",4,10.7995755770928
36,"MORTGAGE",3,"MEDICAL","A",9000,11.49,"0",0.08,"N",16,11.6082356447746
23,"MORTGAGE",7,"MEDICAL","A",5000,8.59,"1",0.07,"N",4,10.9793428540816
22,"RENT",4,"DEBTCONSOLIDATION","B",14125,11.49,"1",0.35,"N",3,10.5966347330961
22,"RENT",6,"EDUCATION","C",10000,13.79,"1",0.19,"N",4,10.8967393255464
23,"MORTGAGE",0,"MEDICAL","C",3000,11.28,"0",0.08,"Y",3,10.4772879754635
24,"RENT",4,"DEBTCONSOLIDATION","A",12000,7.49,"0",0.11,"N",2,11.6351430976945
29,"MORTGAGE",1,"HOMEIMPROVEMENT","A",10000,5.79,"0",0.17,"N",6,11.0020998412042
33,"MORTGAGE",0,"EDUCATION","D",16000,16.77,"0",0.14,"N",5,11.6439537273766
34,"RENT",5,"VENTURE","B",8500,9.45,"0",0.17,"N",6,10.8198582812105
34,"MORTGAGE",2,"DEBTCONSOLIDATION","D",3000,11.71,"1",0.02,"N",10,11.7597855429018
35,"OWN",12,"EDUCATION","D",5000,15.33,"0",0.21,"N",9,10.0604913013458
39,"RENT",5,"PERSONAL","D",6000,14.54,"0",0.15,"N",16,10.5966347330961
25,"MORTGAGE",9,"PERSONAL","A",10000,5.42,"0",0.08,"N",4,11.6952470217642
25,"MORTGAGE",2,"VENTURE","A",10000,7.49,"0",0.13,"N",4,11.289781913656
26,"RENT",11,"HOMEIMPROVEMENT","A",10800,7.51,"1",0.16,"N",4,11.1418617835794
31,"MORTGAGE",2,"HOMEIMPROVEMENT","A",3500,5.79,"0",0.04,"N",6,11.4295438560312
38,"MORTGAGE",5,"PERSONAL","D",5000,15.58,"0",0.06,"N",12,11.3709009649408
26,"RENT",3,"VENTURE","A",4000,5.79,"0",0.08,"N",2,10.77895628989
24,"MORTGAGE",2,"DEBTCONSOLIDATION","A",12200,7.29,"0",0.14,"N",3,11.3667429547921
29,"MORTGAGE",0,"EDUCATION","E",30000,18.79,"0",0.23,"N",8,11.7752589597336
24,"RENT",9,"PERSONAL","A",7000,5.99,"0",0.2,"N",2,10.4631033404715
31,"RENT",9,"PERSONAL","C",8000,14.22,"0",0.13,"Y",5,11.0666383623418
23,"MORTGAGE",7,"DEBTCONSOLIDATION","B",19000,11.48,"0",0.56,"N",4,10.4341158035983
23,"RENT",6,"MEDICAL","B",4000,11.71,"1",0.12,"N",4,10.4040506967356
21,"RENT",3,"PERSONAL","B",10000,10.25,"0",0.22,"N",2,10.7144177687525
29,"RENT",6,"EDUCATION","B",13000,11.49,"0",0.22,"N",10,10.9852927228879
24,"OWN",4,"PERSONAL","C",5000,13.49,"0",0.14,"Y",4,10.4912742174382
33,"RENT",3,"EDUCATION","C",6000,13.35,"0",0.11,"Y",5,10.9150884642146
21,"MORTGAGE",2,"VENTURE","B",8400,11.86,"0",0.13,"N",4,11.0821425488778
28,"RENT",1,"VENTURE","C",11000,13.79,"0",0.16,"N",8,11.1561933765416
21,"OWN",0,"EDUCATION","D",3000,15.58,"0",0.09,"N",3,10.4632176196557
24,"MORTGAGE",4,"MEDICAL","B",2400,13.35,"0",0.03,"N",4,11.1517260151601
22,"RENT",2,"EDUCATION","B",10000,9.99,"0",0.19,"N",3,10.8874369328841
25,"MORTGAGE",4,"VENTURE","A",14000,7.9,"0",0.23,"N",2,11.0020998412042
27,"OWN",3,"PERSONAL","A",5000,8.59,"0",0.13,"N",7,10.5966347330961
25,"MORTGAGE",6,"PERSONAL","B",18000,11.14,"0",0.16,"N",3,11.6307085006266
28,"RENT",3,"VENTURE","B",14000,9.88,"1",0.32,"N",8,10.693057929631
36,"MORTGAGE",4,"VENTURE","B",9500,16,"0",0.15,"N",15,11.0676378626749
38,"RENT",0,"MEDICAL","B",8000,13.35,"0",0.15,"N",13,10.8790278436142
23,"MORTGAGE",7,"MEDICAL","B",3700,10.74,"0",0.03,"N",3,11.6699292137799
25,"RENT",1,"PERSONAL","C",15000,12.53,"0",0.17,"N",4,11.3621490857819
24,"MORTGAGE",3,"EDUCATION","B",3500,10.75,"0",0.03,"N",3,11.6036798282387
25,"MORTGAGE",6,"HOMEIMPROVEMENT","A",4500,5.42,"0",0.09,"N",2,10.77895628989
26,"RENT",7,"DEBTCONSOLIDATION","D",15000,16,"1",0.18,"Y",2,11.3385720778255
25,"RENT",5,"DEBTCONSOLIDATION","B",2200,12.69,"0",0.06,"N",3,10.5558127385758
33,"MORTGAGE",4,"EDUCATION","B",1600,11.36,"0",0.06,"N",7,10.1266311038503
23,"MORTGAGE",7,"VENTURE","A",8500,5.79,"0",0.12,"N",2,11.1704351560235
30,"RENT",3,"DEBTCONSOLIDATION","C",14475,9.88,"0",0.29,"Y",6,10.8197782844103
38,"MORTGAGE",16,"EDUCATION","A",17000,6.03,"0",0.24,"N",13,11.1562505210315
27,"RENT",10,"DEBTCONSOLIDATION","B",10000,11.36,"0",0.25,"N",5,10.5966347330961
27,"RENT",2,"PERSONAL","B",7200,10.59,"0",0.17,"N",9,10.6573534681308
31,"MORTGAGE",13,"EDUCATION","A",20000,8.9,"0",0.25,"N",10,11.289781913656
25,"MORTGAGE",9,"MEDICAL","E",5300,19.91,"1",0.08,"Y",2,10.9735803320438
37,"RENT",11,"EDUCATION","C",2000,13.16,"0",0.08,"Y",16,10.1849000119743
26,"MORTGAGE",5,"PERSONAL","B",8000,9.76,"0",0.33,"N",3,10.0858091093301
24,"RENT",1,"DEBTCONSOLIDATION","E",5000,16.77,"1",0.13,"Y",3,10.5713169251118
28,"OWN",6,"HOMEIMPROVEMENT","B",14000,12.42,"0",0.27,"N",10,10.8589989975636
32,"RENT",3,"PERSONAL","C",7500,11.59,"0",0.05,"Y",5,11.9511803959014
25,"MORTGAGE",3,"EDUCATION","B",3825,11.71,"0",0.15,"N",2,10.1658518170036
25,"RENT",5,"EDUCATION","D",18000,16.32,"0",0.09,"N",3,12.2060726455302
27,"MORTGAGE",4,"EDUCATION","B",11500,9.63,"0",0.16,"N",9,11.1807758722477
26,"RENT",0,"PERSONAL","A",24000,7.9,"1",0.4,"N",4,11.0020998412042
23,"RENT",0,"EDUCATION","B",5000,11.49,"0",0.17,"N",2,10.268130666124
23,"RENT",3,"EDUCATION","B",10000,10.75,"0",0.25,"N",4,10.5966347330961
22,"RENT",4,"DEBTCONSOLIDATION","B",7500,9.76,"1",0.33,"N",3,10.0255281784452
25,"MORTGAGE",4,"HOMEIMPROVEMENT","B",25000,10.75,"0",0.19,"N",3,11.8111616463605
37,"MORTGAGE",0,"VENTURE","B",10000,13.61,"0",0.14,"N",11,11.1562505210315
42,"RENT",5,"VENTURE","D",8000,14.96,"0",0.27,"N",15,10.3089526606443
26,"MORTGAGE",11,"EDUCATION","D",15075,12.92,"0",0.36,"N",2,10.6454248972655
25,"MORTGAGE",10,"MEDICAL","A",5000,7.29,"0",0.08,"N",2,11.0666383623418
24,"RENT",0,"MEDICAL","A",4000,7.9,"0",0.04,"N",4,11.4616321705827
26,"RENT",3,"PERSONAL","D",8000,14.42,"1",0.17,"N",2,10.7363966754712
